release_date,title,budget,revenue
1961-01-25,One Hundred and One Dalmatians,4000000.0,215880014.0
1961-03-30,One-Eyed Jacks,6000000.0,4300000.0
1961-04-27,The Guns of Navarone,6000000.0,28900000.0
1961-05-04,Parrish,1500000.0,4200000.0
1961-07-12,Voyage to the Bottom of the Sea,1580000.0,7000000.0
1961-08-12,The Pit and the Pendulum,200000.0,2000000.0
1961-09-06,A Woman Is a Woman,160000.0,100655.0
1961-09-25,The Hustler,2000000.0,7600000.0
1961-10-05,Breakfast at Tiffany's,2500000.0,9500000.0
1961-10-11,King of Kings,5037000.0,14483352.0
1961-10-18,West Side Story,6000000.0,43656822.0
1961-12-01,Judgment at Nuremberg,3000000.0,10000000.0
1961-12-15,"One, Two, Three",3000000.0,4000000.0
1961-12-18,Pocketful of Miracles,2900000.0,5000000.0
1962-04-22,The Man Who Shot Liberty Valance,3200000.0,8000000.0
1962-05-22,The Miracle Worker,500000.0,2500000.0
1962-06-08,Eegah,15000.0,3274.0
1962-06-13,Lolita,2000000.0,9250000.0
1962-07-03,Birdman of Alcatraz,2650000.0,3100000.0
1962-09-20,Vivre Sa Vie,64000.0,24517.0
1962-09-25,The Longest Day,10000000.0,50100000.0
1962-10-04,Dr. No,950000.0,59600000.0
1962-10-24,The Manchurian Candidate,80000000.0,96105910.0
1962-11-01,How the West Was Won,15000000.0,50000000.0
1962-11-08,Mutiny on the Bounty,19000000.0,13680000.0
1962-12-10,Lawrence of Arabia,15000000.0,69995385.0
1962-12-25,To Kill a Mockingbird,2000000.0,13129846.0
1963-01-25,The Raven,350000.0,1499275.0
1963-03-28,The Birds,2500000.0,11403529.0
1963-05-06,55 Days at Peking,17000000.0,10000000.0
1963-05-29,Hud,2500000.0,10000000.0
1963-06-06,Blood Feast,24500.0,4000000.0
1963-06-12,Donovan's Reef,2686000.0,6600000.0
1963-06-12,Cleopatra,31115000.0,71000000.0
1963-06-20,The Great Escape,4000000.0,11744471.0
1963-10-06,Tom Jones,1000000.0,37600000.0
1963-10-11,From Russia with Love,2000000.0,78898765.0
1963-10-21,Contempt,900000.0,528428.0
1963-11-07,"It's a Mad, Mad, Mad, Mad World",9400000.0,60000000.0
1963-12-05,Charade,4000000.0,13474588.0
1963-12-25,The Sword in the Stone,3000000.0,22182353.0
1964-01-22,Zulu,3500000.0,8000000.0
1964-01-29,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1800000.0,9440272.0
1964-03-24,The Fall of the Roman Empire,19000000.0,4750000.0
1964-07-06,A Hard Day's Night,560000.0,12299668.0
1964-07-09,Marnie,2135161.0,7000000.0
1964-08-05,Band of Outsiders,120000.0,182857.0
1964-08-06,The Night of the Iguana,3000000.0,12000000.0
1964-08-27,Mary Poppins,6000000.0,102272727.0
1964-09-12,A Fistful of Dollars,200000.0,14500000.0
1964-09-17,Goldfinger,2500000.0,124881062.0
1964-09-21,The Train,5800000.0,6800000.0
